STREET1,STREET2,1HASLANE,2HASLANE,BLFinal
Stanwood Street,Normandy Street,0.0,0.0,0
Birch Street,Belgrade Avenue,0.0,1.0,0
Centre Street,Dunster Road,1.0,0.0,0
Massachusetts Avenue,Newbury Street,1.0,0.0,0
Commonwealth Avenue,Winslow Road,1.0,0.0,0
Charles Street South,Boylston Street,0.0,1.0,0
Saratoga Street,Meridian Street,1.0,1.0,0
Hyde Park Avenue,Willow Avenue,0.0,0.0,0
Columbia Road,Ceylon Street,1.0,0.0,0
Clarendon Street,Commonwealth Avenue,0.0,1.0,0
Columbia Road,Geneva Avenue,1.0,0.0,0
Commonwealth Avenue Frontage Road Wb,Fordham Road,1.0,0.0,0
Beacon Street,Massachusetts Avenue,1.0,1.0,0
Dartmouth Street,Newbury Street,1.0,0.0,0
South Huntington Avenue,Colburn Street,1.0,0.0,0
Washington Street,Dighton Street,1.0,0.0,0
Gloucester Street,Newbury Street,0.0,0.0,0
Cambridge Street,Sparhawk Street,1.0,0.0,0
Commonwealth Avenue,Griggs Street,1.0,0.0,0
Huntington Avenue,South Huntington Avenue,1.0,1.0,0
Sumner Street,Annapolis Street,0.0,0.0,0
Boylston Street,Clive Street,1.0,0.0,0
Alford Street,Arlington Avenue,1.0,0.0,0
Balfour Street,Wayland Street,0.0,0.0,0
Massachusetts Avenue,Saint Botolph Street,1.0,0.0,0
Blue Hill Avenue,Paxton Street,1.0,0.0,0
Gallivan Boulevard,Magdala Street,0.0,0.0,0
Blossom Street,Cambridge Street,0.0,1.0,0
Massachusetts Avenue,Saint Germain Street,1.0,0.0,0
Washington Street,Rollins Street,1.0,0.0,0
Tremont Street,Stuart Street,0.0,1.0,0
Stuart Street,Trinity Place,1.0,0.0,0
Washington Street,Bexley Road,1.0,0.0,0
Commonwealth Avenue,Saint Paul Street,1.0,0.0,0
Columbus Avenue,Cedar Street,1.0,0.0,0
Cambridge Street,Lincoln Street,1.0,0.0,0
Beacon Street,Massachusetts Avenue,1.0,1.0,0
Fairmount Avenue,Nott Street,0.0,0.0,0
Hadassah Way,Boylston Street,0.0,1.0,0
Massachusetts Avenue,Clearway Street,1.0,0.0,0
Commonwealth Avenue,Scottfield Road,1.0,0.0,0
Huntington Avenue,Wait Street,1.0,0.0,0
Massachusetts Avenue,Napa Street,1.0,0.0,0
Huntington Avenue,Opera Place,1.0,0.0,0
Massachusetts Avenue,Saint Botolph Street,1.0,0.0,0
Melnea Cass Boulevard,Columbus Avenue,0.0,1.0,0
Beacon Street,Raleigh Street,1.0,0.0,1
Cedar Street,Anita Terrace,0.0,0.0,0
Washington Street,East Concord Street,1.0,0.0,0
South Street,Jamaica Street,1.0,0.0,0
Clarendon Street,Appleton Street,0.0,0.0,0
Stanwood Street,Normandy Street,0.0,0.0,0
Rockvale Circle,Washington Street,0.0,1.0,0
Western Avenue,Kelley Court,1.0,0.0,0
Prentiss Street,Tremont Street,0.0,0.0,0
Dorchester Avenue,Linden Street,1.0,0.0,0
Parker Street,Parker Hill Avenue,0.0,0.0,0
