FID,OBJECTID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Network,InstallDat,ExisFacil,Rec1,Rec2,Road,Divided,CurbtoCurb,KeyBus,LengthMi,BikeInvent,RoadSegmen,Spine,TravelLane,OneWay,WorkplanDa,Agent,Designer,EngStatus,ProjectedI,FiveYearPl,Shape_Leng
362,204,Commercial Street,5150000,5,2,1,2011,BL,CT1-2, ,1,0,0,0,0.051296,0,5150000,1,4,B,0,BTD/NPS,TDG,10,2018,1.1,82.55328
363,196,Dorchester Avenue,5128200,3,2,1,2011,BL, , ,1,0,0,0,0.062067,0,5128200,0,3,B,0,MassDOT,HSH,0,0,0,99.886654
364,664,Dorchester Avenue,5398401,3,2,1,2010,SLM, , ,1,0,0,0,0.023528,0,5398401,0,2,B,0,MassDOT,HSH,0,0,0,37.865081
365,197,Dorchester Avenue,5128100,3,2,1,2011,BL, , ,1,0,0,0,0.067214,0,5128100,0,2,B,0,MassDOT,HSH,0,0,0,108.170792
366,205,D Street,5286000,3,5,1,2013,CL,BFBL, ,1,0,30,1,0.051037,0,5286000,0,4,B,0,Boston Bikes,TDG,0,0,0,82.136059
367,665,Talbot Avenue,4847300,5,2,1,2010,BL, , ,1,0,0,1,0.020166,0,4847300,0,4,B,0,Boston Bikes,TDG,0,0,0,32.454704
368,198,Dorchester Avenue,5128400,3,2,1,2011,BL, , ,1,0,0,0,0.013838,0,5128400,0,2,B,0,MassDOT,HSH,0,0,0,22.269742
369,206,Bennington Street,5619700,5,2,1,2008,SLM,BSBL, ,1,1,0,0,0.075397,0,5619700,0,2,FT,0,BTD,HSH,0,0,0,121.340043
370,666,Columbia Road,6230000,5,2,1,2010,BL,CT1-1, ,1,1,0,0,0.065243,0,6230000,1,3,FT,0,Boston Bikes,TDG,0,0,0,104.998808
371,207,Dorchester Avenue,4617000,3,2,1,2011,SLM, , ,1,0,0,0,0.035654,0,4617000,0,2,B,0,MassDOT,HSH,0,0,0,57.380332
372,199,Dorchester Avenue,4644000,3,2,1,2011,BL, , ,1,0,0,0,0.060232,0,4644000,0,2,B,0,MassDOT,HSH,0,0,0,96.93428
373,667,Columbia Road,6230200,5,2,1,2010,BL,CT1-1, ,1,1,0,0,0.078063,0,6230200,1,3,FT,0,Boston Bikes,TDG,0,0,0,125.630168
374,208,Dorchester Avenue,5250000,3,2,1,2011,BL, , ,1,0,0,0,0.155882,0,5250000,0,2,B,0,MassDOT,HSH,0,0,0,250.868073
375,209,D Street,4585200,5,2,1,2013,CL, , ,1,0,33,0,0.109888,0,4585200,0,2,B,0,Boston Bikes,TDG,0,0,0,176.848569
376,200,Dorchester Avenue,4654900,3,2,1,2011,BL, , ,1,0,0,0,0.060004,0,4654900,0,3,B,0,MassDOT,HSH,0,0,0,96.567562
377,210,D Street,4570100,5,2,1,2013,CL, , ,1,0,33,0,0.029134,0,4570100,0,2,B,0,Boston Bikes,TDG,0,0,0,46.886892
378,668,Albany Street,5677500,5,2,1,2012,BL, , ,1,0,54,0,0.073734,0,5677500,0,4,B,0,Boston Bikes,TDG,0,0,0,118.662819
379,211,Dorchester Avenue,6266600,3,2,1,2011,SLM, , ,1,0,0,0,0.042602,0,6266600,0,3,B,0,MassDOT,HSH,0,0,0,68.561789
380,212,A Street,4535100,5,2,1,2013,BL, , ,1,0,40,0,0.024424,0,4535100,0,2,B,0,Boston Bikes,TDG,100,2013,0,39.30742
381,213,Surface Artery,45235900,3,2,1,2011,BL, , ,1,0,0,0,0.009342,0,45235900,0,3,FT,0,Boston Bikes,TDG,0,0,0,15.033722
382,214,Devonshire Street,5650800,5,2,1,2012,SLM,CT2-1, ,1,0,0,0,0.090147,0,5650800,1,1,FT,0,Boston Bikes,TDG,0,0,1.1,145.078424
383,215,Atlantic Avenue,5433300,3,2,1,2011,BL,BFBL, ,1,0,0,0,0.059806,0,5433300,0,4,FT,0,Boston Bikes,TDG,0,0,0,96.249407
384,216,High Street,5349600,5,2,1,2011,BL, , ,1,0,33,0,0.047184,0,5349600,0,1,FT,0,Boston Bikes,TDG,0,0,0,75.935125
385,217,Purchase Street,45235000,3,2,1,2011,BL, , ,1,0,0,0,0.009705,0,45235000,0,2,FT,0,Boston Bikes,TDG,0,0,0,15.619399
386,218,High Street,5326000,3,2,1,2011,BL, , ,1,0,33,0,0.072161,0,5326000,0,1,FT,0,Boston Bikes,TDG,0,0,0,116.131911
387,219,Milk Street,5462500,5,2,1,2011,BL, , ,1,0,37,0,0.030568,0,5462500,0,3,FT,0,Boston Bikes,TDG,0,0,0,49.195151
388,220,Congress Street,5237800,3,2,1,2012,BFBL,CT1-1, ,1,0,0,0,0.08782,0,5237800,0,3,FT,2014.1,Boston Bikes,TDG,25,0,0,141.333655
389,221,Kilby Street,5805600,0,2,1,2011,BL, , ,1,0,0,0,0.015557,0,5805600,0,1,FT,0,Boston Bikes,TDG,0,0,0,25.036845
390,222,Milk Street,5462600,5,2,1,2011,BL, , ,1,0,0,0,0.041147,0,5462600,0,1,FT,0,Boston Bikes,TDG,0,0,0,66.219953
391,223,North Washington Street,45225600,3,2,1,2014,BL,CT1-1,BL,1,0,0,1,0.022147,0,45225600,0,2,FT,2014.2, ,TDG,75,2013,0,35.6423
392,224,North Washington Street,45225800,3,2,1,2014,BL,CT1-1,BL,1,0,0,0,0.055282,0,45225800,0,2,FT,2014.2, ,TDG,75,2013,0,88.967852
393,225,Cross Street,5806000,3,2,1,2014,BL, ,BL,1,0,0,1,0.042304,0,5806000,0,2,FT,2014.2,Boston Bikes,TDG,75,2013,0,68.08214
394,226,Cross Street,45227200,3,2,1,2014,BL, ,BL,1,0,0,1,0.014225,0,45227200,0,2,FT,2014.2,Boston Bikes,TDG,75,2013,0,22.892268
395,227,Salem Street,5765000,0,2,1,2013,SLM, , ,1,0,17,0,0.019465,0,5765000,0,1,FT,0,Boston Bikes,TDG,25,2013,0,31.326237
396,228,Ashmont Street,4856800,5,2,1,2013,SLM, , ,1,0,28,0,0.164825,0,4856800,0,2,B,0,Boston Bikes,TDG,0,0,0,265.260654
397,229,Neponset Avenue,4814800,5,2,1,2012,CL, , ,1,0,0,0,0.045635,0,4814800,0,2,B,0,Boston Bikes,TDG,0,0,0,73.442602
398,230,Freeport Street,4770200,3,2,1,2013,SLM, , ,1,0,30,0,0.092392,0,4770200,0,2,B,0,PWD Highway,TDG,100,2013,0,148.691203
399,231,A Street,5625700,5,2,1,2013,SLM, , ,1,0,32,0,0.030602,0,5625700,0,2,B,0,Boston Bikes,TDG,100,2013,0,49.248459
400,232,Pearl Street,45234200,5,2,1,2011,SLM, , ,1,0,0,0,0.041221,0,45234200,0,3,FT,0,Boston Bikes,TDG,0,0,0,66.33825
401,233,Purchase Street,5482500,3,2,1,2011,BL, , ,1,0,0,0,0.08215,0,5482500,0,3,FT,0,Boston Bikes,TDG,0,0,0,132.208611
402,234,Purchase Street,45232200,3,2,1,2011,BL, , ,1,0,0,0,0.107888,0,45232200,0,3,FT,0,Boston Bikes,TDG,0,0,0,173.629139
403,235,John F. Fitzgerald Surface Road,5586400,3,2,1,2011,BL, , ,1,0,0,0,0.020604,0,5586400,0,3,FT,0,Boston Bikes,TDG,0,0,0,33.158854
404,236,Veterans Of Foreign Wars Parkway,4989300,2,3,1,2013,SLM,SUP, ,1,1,0,0,0.051848,0,4989300,1,3,FT,0,Boston Bikes,TDG,0,0,0,83.441367
405,237,Veterans Of Foreign Wars Parkway,6222400,2,3,1,2013,BL,SUP, ,1,1,0,0,0.185974,0,6222400,1,2,FT,0,Boston Bikes,TDG,0,0,0,299.29596
406,238,D Street,5665300,3,2,1,2013,BL,BL, ,1,1,0,0,0.084896,0,5665300,0,2,FT,0,Boston Bikes,TDG,0,0,0,136.627523
407,239,Northern Avenue,45263800,3,5,1,2010,BL, , ,1,0,0,0,0.037134,0,45263800,0,4,B,0,MassPort,Unknown,0,0,0,59.761556
408,240,Northern Avenue,45263901,5,5,1,2010,BL, , ,1,0,0,0,0.040907,0,45263901,0,4,B,0,MassPort,Unknown,0,0,0,65.834362
409,241,Meridian Street,4411300,3,2,1,2013,CL,BL, ,1,0,0,1,0.054037,0,4411300,0,2,B,0,Boston Bikes,TDG,25,2013,0,86.963555
410,242,Meridian Street,4404100,3,2,1,2013,CL,BL, ,1,0,0,1,0.031752,0,4404100,0,2,B,0,Boston Bikes,TDG,25,2013,0,51.100008
411,243,Bennington Street,6267500,5,2,1,2008,SLM,BSBL, ,1,1,0,0,0.166093,0,6267500,0,2,FT,0,BTD,HSH,0,0,0,267.300965
